code_postal;nb_annonces;loyer_median;loyer_moyen;loyer_m2_median;surface_moy;ville_principale
0;22;795.0;929.4;19.3;51.3;Cayenne
1000;1;420.0;420.0;38.2;11.0;Bourg-En-Bresse
1480;5;699.0;823.2;13.7;61.2;Jassans-Riottier
1570;1;480.0;480.0;13.7;35.0;Feillens
1750;6;720.0;691.7;9.6;75.2;Saint-Laurent-Sur-Saã´Ne
2110;1;650.0;650.0;14.4;45.0;
2500;5;580.0;542.0;10.7;58.6;Hirson
6000;16;900.0;1117.1;27.5;36.5;Nice
6100;4;787.5;793.8;32.1;27.2;Nice
6150;4;840.0;980.0;27.4;45.2;Cannes
6160;14;970.0;994.3;24.3;43.4;Antibes
6200;14;878.5;962.3;27.1;39.6;Nice
6300;9;800.0;1105.4;29.1;38.4;Nice
6400;23;1150.0;1508.7;35.8;44.5;Cannes
6600;12;1182.5;1238.8;24.4;48.8;Antibes
7400;6;683.0;693.0;9.9;63.3;Meysse
10000;588;504.0;568.5;13.9;43.6;Troyes
10100;11;490.0;523.0;8.4;61.8;Romilly-Sur-Seine
10120;26;462.0;583.8;12.4;58.6;Saint-Andre-Les-Vergers
10190;1;690.0;690.0;7.8;88.0;Estissac
10300;19;550.0;610.4;12.2;54.9;Sainte-Savine
10700;1;780.0;780.0;5.4;144.0;Villiers-Herbisse
11000;163;530.0;584.4;11.8;52.7;Carcassonne
11100;279;550.0;597.5;13.3;46.8;Narbonne
11130;5;1037.0;1037.0;9.3;112.0;Sigean
11170;2;683.0;683.0;7.0;100.5;Alzonne
11200;6;460.0;549.8;9.7;57.7;Lezignan-Corbieres
11250;5;520.0;490.0;6.9;60.0;Leuc
11260;1;750.0;750.0;8.3;90.0;Esperaza
11290;1;650.0;650.0;10.3;63.0;Roullens
11300;8;552.5;575.0;6.6;81.6;Limoux
11400;24;460.0;569.5;10.9;58.8;Castelnaudary
11570;1;430.0;430.0;17.2;25.0;Cavanac
11600;2;515.0;515.0;9.0;59.0;Conques Sur Orbiel
11610;2;600.0;600.0;8.5;71.0;Ventenac Cabardes
12000;194;490.0;553.9;13.1;46.2;Rodez
12100;48;502.5;555.5;11.1;53.5;Millau
12200;34;615.0;621.7;10.6;59.2;Villefranche-De-Rouergue
12400;8;512.0;489.6;8.1;59.4;
12450;1;500.0;500.0;9.1;55.0;Luc-La-Primaube
12850;32;450.0;466.9;12.3;38.9;Onet Le Chateau
13001;227;750.0;885.6;20.6;48.6;Marseille
13002;145;839.0;906.4;20.9;47.5;Marseille 2
13003;164;652.5;709.3;17.5;47.5;Marseille 3
13004;179;700.0;820.9;19.2;45.6;Marseille 4
13005;263;690.0;765.2;22.4;39.5;Marseille 5
13006;243;880.0;1002.9;21.6;50.4;Marseille 6
13007;156;910.0;1439.9;24.9;56.1;Marseille 7
13008;356;1100.0;1577.9;22.9;69.2;Marseille 8
13009;261;980.0;972.8;18.5;52.8;Marseille 9
13010;209;765.0;805.9;18.8;46.0;Marseille 10
13011;58;872.0;1098.1;17.7;64.2;Marseille
13012;127;925.0;1158.5;19.0;61.0;Marseille 12
13013;128;882.0;886.7;17.5;54.5;Marseille 13
13014;59;770.0;806.7;16.5;48.8;Marseille
13015;36;705.0;710.3;16.4;48.1;Marseille 15Eme
13016;27;725.0;924.7;20.0;53.1;Marseille
13080;52;895.0;1167.8;24.7;49.5;Aix-En-Provence
13090;117;850.0;992.4;24.9;45.3;Aix-En-Provence
13100;339;836.0;994.4;24.3;42.8;Aix En Provence
13103;3;1085.0;1008.3;13.4;80.3;Saint-Etienne-Du-Gres
13104;11;730.0;803.6;15.8;48.2;Arles
13109;3;880.0;852.7;11.6;70.7;Simiane-Collongue
13110;31;680.0;690.8;16.2;44.5;Port-De-Bouc
13111;1;904.0;904.0;15.9;57.0;Coudoux
13117;3;590.0;721.0;15.4;44.0;Martigues
13120;20;704.5;722.0;19.8;41.4;Gardanne
13122;1;3700.0;3700.0;24.7;150.0;Ventabren
13127;15;1050.0;1120.1;17.2;62.3;Vitrolles
13130;6;1050.0;1118.3;16.5;72.3;Berre-L'Etang
13140;24;750.0;763.1;14.1;51.5;Miramas
13150;11;645.0;689.2;11.5;70.9;Tarascon
13160;21;809.0;823.0;11.4;75.7;Chateaurenard
13170;9;820.0;961.8;21.7;53.3;Les Pennes-Mirabeau
13190;9;789.0;1025.0;17.1;57.9;Allauch
13200;129;745.0;784.1;14.1;57.7;Arles
13210;18;819.5;1004.8;18.2;56.4;Saint-Remy-De-Provence
13220;3;850.0;866.7;16.1;53.7;Chateauneuf-Les-Martigues
13260;1;3200.0;3200.0;43.2;74.0;Cassis
13270;25;681.0;715.0;17.6;45.9;Fos-Sur-Mer
13280;5;1400.0;1540.0;16.9;126.4;Raphele-Les-Arles
13290;5;820.0;1068.0;21.7;50.6;Les Milles
13300;63;675.0;737.0;14.7;49.5;Salon-De-Provence
13310;5;780.0;746.4;15.3;46.4;Saint-Martin-De-Crau
13320;15;1500.0;1500.0;16.5;91.0;Bouc-Bel-Air
13380;1;200.0;200.0;8.0;25.0;Plan-De-Cuques
13390;12;1085.0;1424.3;14.5;98.1;Auriol
13400;48;780.0;1264.7;17.9;61.4;Aubagne
13410;14;755.0;725.2;15.5;47.0;Lambesc
13420;1;4000.0;4000.0;22.2;180.0;Gemenos
13440;2;517.0;517.0;12.9;40.0;Cabannes
13480;1;2200.0;2200.0;16.7;132.0;Cabries
13500;21;800.0;793.3;16.7;48.9;Martigues
13520;1;950.0;950.0;19.4;49.0;
13530;5;860.0;980.0;17.6;55.4;Trets
13540;9;1103.0;1691.7;24.3;74.7;Puyricard
13590;1;1042.0;1042.0;20.4;51.0;
13600;44;829.5;1277.9;22.3;58.6;La Ciotat
13610;1;740.0;740.0;18.5;40.0;
13620;2;1850.0;1850.0;22.6;84.0;Carry-Le-Rouet
13660;3;550.0;793.3;16.1;54.3;Orgon
13670;4;925.0;882.8;9.4;92.8;Saint-Andiol
13700;19;777.0;807.3;15.6;49.3;Marignane
13720;2;685.0;685.0;21.7;34.0;
13750;1;920.0;920.0;11.5;80.0;Plan D Orgon
13760;15;755.0;755.0;13.2;57.0;St Cannat
13790;5;1470.0;1685.6;15.3;111.0;
13800;50;785.0;866.1;15.6;55.3;Istres
13890;1;700.0;700.0;20.0;35.0;
13960;1;1875.0;1875.0;20.8;90.0;Sausset-Les-Pins
14000;569;590.0;664.2;19.6;39.9;Caen
14100;35;690.0;736.9;11.8;63.5;Lisieux
14112;3;1331.0;1143.7;14.8;86.7;Bieville-Beuville
14120;5;794.0;784.2;12.1;57.2;Mondeville
14123;8;842.5;942.2;13.6;69.0;Ifs
14150;7;680.0;717.1;17.2;40.9;Ouistreham
14200;55;430.0;590.2;12.9;54.9;Herouville-Saint-Clair
14360;9;770.0;804.2;21.8;38.6;Trouville-Sur-Mer
14400;8;650.0;672.4;13.2;69.8;Bayeux
14500;6;420.0;441.2;11.6;40.0;Vire
14520;3;740.0;810.0;15.2;53.3;
14600;25;690.0;693.5;13.8;45.8;Honfleur
14700;7;580.0;582.7;13.6;42.0;Falaise
14730;1;1074.0;1074.0;16.8;64.0;
15000;84;447.5;501.1;10.7;49.1;Aurillac
15100;15;400.0;394.6;12.7;34.5;Saint-Flour
16000;280;535.5;596.3;13.8;50.7;Angouleme
16006;3;625.0;715.0;28.4;38.0;Angouleme
16100;103;650.0;707.2;11.6;68.2;Cognac
16150;1;545.0;545.0;6.8;80.0;Chabanais
16400;16;396.0;425.3;16.7;28.2;La Couronne
17000;305;720.0;838.5;21.6;41.4;La Rochelle
17100;43;625.0;646.5;11.3;58.3;Saintes
17137;4;671.0;915.5;16.5;57.8;L'Houmeau
17139;1;826.0;826.0;20.6;40.0;
17140;3;755.0;966.3;18.9;52.3;Lagord
17180;10;694.0;867.5;14.8;65.6;Perigny
17200;32;725.0;720.8;15.2;49.3;Royan
17300;56;587.5;606.0;15.6;44.2;Rochefort
17400;2;410.0;410.0;23.0;18.0;Saint-Jean-D'Angely
17410;1;691.0;691.0;19.7;35.0;Saint-Martin-De-Re
17440;4;815.0;856.5;16.7;62.5;Aytre
18000;265;580.0;652.8;13.8;52.0;Bourges
18100;92;480.0;504.2;9.8;51.0;Vierzon
18140;1;620.0;620.0;10.5;59.0;Herry
18150;1;595.0;595.0;8.9;67.0;Cuffy
18330;1;700.0;700.0;6.1;115.0;Nancay
19000;75;470.0;516.1;9.4;55.4;Tulle
19100;88;588.5;664.3;11.7;58.5;Brive-La-Gaillarde
19200;10;405.0;472.0;10.3;47.4;Ussel
19270;5;525.0;695.6;11.2;71.8;Ussac
20000;24;820.0;844.0;16.6;51.4;Ajaccio
20090;6;914.5;899.2;15.6;57.3;Ajaccio
20620;6;650.0;675.8;14.3;48.8;Biguglia
21000;957;580.0;631.8;17.2;39.8;Dijon
21200;47;700.0;693.6;14.3;51.1;Beaune
21800;15;720.0;720.0;10.0;72.0;Quetigny
21850;1;820.0;820.0;13.9;59.0;St Apollinaire
22000;198;525.0;579.2;12.5;51.6;Saint-Brieuc
22100;28;651.0;688.2;14.5;54.9;Dinan
22190;5;600.0;1510.0;15.0;106.0;Plerin
22200;9;400.0;438.0;14.3;48.3;Guingamp
22210;1;1080.0;1080.0;5.5;195.0;
22300;40;550.0;609.9;12.2;57.9;Lannion
22360;5;509.0;707.4;12.4;54.4;Langueux
22370;2;895.0;895.0;13.6;65.0;Pleneuf-Val-Andre
22400;7;650.0;710.7;12.2;64.6;Lamballe
22410;3;700.0;831.7;16.5;60.0;Saint Quay Portrieux
22430;1;640.0;640.0;15.2;42.0;Erquy
22490;1;770.0;770.0;15.7;49.0;
22520;1;1300.0;1300.0;11.8;110.0;Binic-Etables-Sur-Mer
22600;2;622.0;622.0;8.1;93.5;
22950;1;1251.0;1251.0;9.3;135.0;Tregueux
23000;2;430.0;430.0;8.2;52.5;Gueret
23150;1;630.0;630.0;6.0;105.0;
24000;306;500.0;558.8;13.0;45.0;Perigueux
24100;60;525.0;565.0;12.9;45.4;Bergerac
24110;3;600.0;553.3;8.0;78.3;Saint-Astier
24200;5;550.0;677.0;9.8;71.2;Sarlat-La-Caneda
24330;1;1500.0;1500.0;7.5;200.0;Bassillac Et Auberoche
24380;1;975.0;975.0;7.3;133.0;Creyssensac-Et-Pissot
24420;2;627.0;627.0;8.6;73.5;Sarliac-Sur-L'Isle
24430;4;615.0;535.0;10.3;51.0;Marsac-Sur-L'Isle
24660;7;590.0;572.9;15.5;51.7;Coulounieix-Chamiers
24750;11;550.0;589.6;11.0;56.6;Trelissac
25000;588;570.0;626.3;15.7;43.7;Besancon
25130;3;1500.0;1476.7;14.1;102.3;
25200;129;520.0;530.7;11.3;46.8;Montbeliard
25300;37;705.0;787.3;16.4;49.1;Pontarlier
25400;9;640.0;586.7;14.2;46.4;Audincourt
25500;8;842.5;889.4;16.1;76.1;Morteau
26000;354;590.0;624.3;13.5;48.3;Valence
26100;81;610.0;638.6;10.5;63.3;Romans-Sur-Isere
26110;12;612.0;591.4;8.7;68.6;Nyons
26120;1;950.0;950.0;12.7;75.0;
26140;1;551.0;551.0;8.5;65.0;Saint-Rambert-D'Albon
26190;2;392.5;392.5;10.5;37.5;Saint-Jean-En-Royans
26200;141;610.0;681.5;12.5;57.5;Montelimar
26260;1;680.0;680.0;12.8;53.0;Clerieux
26300;6;588.5;600.3;10.4;55.8;Bourg-De-Peage
26320;2;985.0;985.0;11.6;86.0;Saint-Marcel-Les-Valence
26400;4;937.5;911.2;10.1;96.0;Crest
26500;42;735.0;726.1;10.9;65.7;Bourg-Les-Valence
26600;8;538.0;644.4;12.1;56.8;Tain-L'Hermitage
26700;7;575.0;548.6;11.6;48.0;Pierrelatte
26740;9;850.0;856.4;10.1;87.0;Montboucher-Sur-Jabron
26780;3;870.0;790.3;11.2;71.0;Chateauneuf-Du-Rhone
27000;206;576.0;641.0;15.9;44.7;Evreux
27120;1;1200.0;1200.0;10.8;111.0;Le Val David
27140;6;730.5;720.3;12.9;55.5;Gisors
27180;2;1125.0;1125.0;9.2;121.5;Aulnay Sur Iton
27200;39;750.0;841.1;14.8;63.2;Vernon
27220;1;600.0;600.0;23.1;26.0;Saint-Andre-De-L'Eure
27300;24;675.0;709.9;11.2;68.5;Bernay
27400;50;859.0;857.0;12.2;71.3;Louviers
27490;1;1450.0;1450.0;14.2;102.0;Cailly-Sur-Eure
27500;21;550.0;563.9;12.7;45.0;Pont-Audemer
27930;5;1250.0;1143.6;10.7;110.8;Cierrey
28000;218;682.5;711.8;14.5;51.2;Chartres
28100;48;700.0;699.4;13.2;54.9;Dreux
28110;43;620.0;647.5;12.8;51.6;Luce
28130;2;797.5;797.5;12.9;62.0;Pierres
28200;5;415.0;423.0;15.6;40.0;Chateaudun
28300;7;650.0;685.0;14.8;51.3;Mainvilliers
28400;3;360.0;431.7;14.4;33.3;Nogent-Le-Rotrou
28600;5;620.0;722.0;14.1;48.0;Luisant
28630;2;710.0;710.0;11.1;64.0;Le Coudray
29000;141;540.0;602.5;15.3;43.5;Quimper
29100;6;554.5;692.2;10.4;69.8;Douarnenez
29120;5;458.0;625.4;11.8;49.0;Pont-L'Abbe
29150;1;535.0;535.0;12.7;42.0;Chateaulin
29200;843;570.0;640.8;14.1;50.9;Brest
29260;1;950.0;950.0;8.6;110.0;
29300;4;912.5;868.8;10.6;97.2;Quimperle
29400;7;490.0;530.0;15.2;39.9;Landivisiau
29470;1;500.0;500.0;16.1;31.0;Plougastel-Daoulas
29600;7;450.0;493.0;15.4;35.7;Morlaix
29720;4;900.0;921.2;10.9;84.2;
29730;1;595.0;595.0;10.3;58.0;
29750;1;320.0;320.0;21.3;15.0;
29900;5;750.0;803.6;14.2;59.4;Concarneau
29950;1;890.0;890.0;7.0;127.0;
30000;538;570.0;628.5;15.6;44.5;Nimes
30100;192;575.0;608.4;11.2;55.8;Ales
30128;2;960.0;960.0;12.3;80.0;Garons
30130;22;550.0;552.3;9.4;60.5;Pont-Saint-Esprit
30133;19;690.0;726.2;14.2;51.1;Les Angles
30200;70;550.0;594.4;11.9;50.4;Bagnols-Sur-Ceze
30240;6;695.0;645.3;22.1;30.7;Le Grau-Du-Roi
30300;23;670.0;774.6;12.2;66.3;Beaucaire
30330;1;500.0;500.0;13.5;37.0;
30400;16;787.0;782.0;14.4;54.3;Villeneuve-Les-Avignon
30510;4;1185.0;1185.0;9.4;124.5;Generac
30600;9;723.0;753.4;14.4;56.1;Vauvert
30620;2;1420.0;1420.0;15.0;95.0;Bernis
30640;1;1290.0;1290.0;10.1;128.0;Beauvoisin
30650;3;1080.0;1183.3;10.8;110.3;Rochefort-Du-Gard
30660;1;760.0;760.0;7.6;100.0;Gallargues-Le-Montueux
30700;15;660.0;689.5;14.2;47.9;Uzes
30730;1;2000.0;2000.0;12.0;167.0;Saint-Mamert-Du-Gard
30800;1;450.0;450.0;18.8;24.0;
30900;119;540.0;633.7;15.0;45.9;Nimes
31000;311;700.0;812.9;22.6;38.7;Toulouse
31100;7;612.0;687.3;14.9;49.7;Toulouse
31130;16;757.0;829.3;16.7;53.5;Balma
31140;50;693.5;866.6;13.1;65.6;Launaguet
31150;3;738.0;713.3;11.7;57.0;Bruguieres
31170;48;835.0;1005.2;13.5;80.3;Tournefeuille
31190;8;652.5;661.0;12.8;49.8;Auterive
31200;25;780.0;758.7;14.7;52.6;Toulouse
31240;19;850.0;913.5;14.4;67.1;Saint-Jean
31250;21;497.0;542.8;9.1;58.0;Revel
31270;49;765.0;824.3;12.1;66.8;Cugnaux
31300;19;834.0;815.1;18.5;48.5;Toulouse
31320;49;576.0;571.3;16.1;38.8;Castanet-Tolosan
31330;5;920.0;1154.0;10.0;123.8;Grenade
31390;4;583.5;651.8;11.2;57.5;Carbonne
31400;37;760.0;775.4;18.7;45.8;Toulouse
31440;2;575.0;575.0;8.4;69.0;Saint-Beat
31490;14;632.5;745.2;13.0;64.9;Leguevin
31500;15;849.0;798.3;16.1;49.3;Toulouse
31520;50;670.5;785.2;14.8;52.3;Ramonville-Saint-Agne
31550;2;725.0;725.0;8.9;99.0;Gaillac-Toulza
31600;63;726.0;723.4;11.8;63.5;Muret
31650;21;795.0;887.6;14.1;65.0;Saint-Orens-De-Gameville
31700;66;749.5;812.7;12.9;63.5;Blagnac
31770;47;721.0;819.0;13.3;64.8;Colomiers
31780;17;847.0;940.5;12.3;87.1;Castelginest
31790;4;723.0;723.2;11.9;63.5;
31800;42;537.5;523.8;9.7;57.8;Saint-Gaudens
31830;21;799.0;915.7;13.7;72.0;Plaisance-Du-Touch
31840;2;740.0;740.0;13.1;56.5;
32000;83;500.0;544.3;12.5;46.6;Auch
32130;3;400.0;420.0;13.5;32.7;Samatan
32600;7;763.0;729.1;10.9;65.0;
33000;590;810.5;924.1;22.9;44.0;Bordeaux
33100;38;695.0;743.7;30.2;38.8;Bordeaux
33110;41;950.0;1133.7;17.6;66.3;Le Bouscat
33113;1;1350.0;1350.0;7.5;180.0;Saint-Symphorien
33115;2;4300.5;4300.5;54.3;60.5;La Teste-De-Buch
33120;15;1270.0;1277.9;20.0;63.6;Arcachon
33130;42;768.5;947.7;17.4;58.5;Begles
33138;1;997.0;997.0;23.2;43.0;
33140;48;609.0;719.4;21.5;38.1;Villenave-D'Ornon
33150;53;569.0;670.6;13.5;56.9;Cenon
33160;21;1125.0;1328.9;14.9;91.7;Saint-Medard-En-Jalles
33170;44;645.0;802.8;20.9;40.2;Gradignan
33185;1;1296.0;1296.0;19.6;66.0;Le Haillan
33190;4;617.0;611.0;9.5;65.5;La Reole
33200;30;901.5;1168.6;19.7;65.0;Bordeaux
33210;6;775.0;726.3;11.5;65.8;Langon
33230;11;655.0;628.7;13.3;53.2;Coutras
33240;33;670.0;767.7;13.5;58.5;Saint-Andre-De-Cubzac
33260;17;1100.0;1196.4;16.2;77.8;La Teste-De-Buch
33270;25;912.0;925.4;13.6;69.1;Floirac
33290;5;1295.0;1490.8;10.2;155.6;
33300;72;799.0;896.6;22.7;47.4;Bordeaux
33310;147;649.0;713.8;15.0;47.8;Lormont
33320;13;1036.0;1047.5;15.2;65.1;Eysines
33380;4;1029.0;1127.0;15.9;76.2;Biganos
33390;30;630.0;665.2;11.7;66.6;Blaye
33400;296;630.0;761.9;24.0;42.4;Talence
33440;9;700.0;788.7;15.1;59.7;Ambares-Et-Lagrave
33470;19;900.0;1033.2;15.0;66.8;Gujan-Mestras
33500;74;752.0;774.0;13.7;64.8;Libourne
33510;5;1382.0;1201.0;16.2;81.8;Andernos-Les-Bains
33520;21;781.0;923.2;14.8;60.1;Bruges
33550;2;605.0;605.0;15.3;39.5;Paillet
33600;226;590.0;729.2;26.2;41.0;Pessac
33700;146;750.0;854.6;18.2;52.2;Merignac
33750;1;1002.0;1002.0;11.8;85.0;Saint-Germain-Du-Puch
33800;135;733.0;855.9;20.2;45.3;Bordeaux
33810;2;718.5;718.5;10.8;66.5;Ambes
33980;2;756.5;756.5;12.9;58.5;
34000;387;687.0;781.2;21.0;41.0;Montpellier
34024;1;594.0;594.0;33.0;18.0;Montpellier
34070;120;688.5;711.1;18.3;42.8;Montpellier
34080;74;580.0;657.4;17.8;39.1;Montpellier
34090;129;530.0;608.2;22.7;31.0;Montpellier
34110;28;762.0;875.5;15.1;62.9;Frontignan
34120;45;510.0;553.0;11.9;47.5;Pezenas
34130;37;749.0;908.5;18.4;51.9;Mauguio
34140;10;890.0;903.0;14.0;65.4;Meze
34150;7;700.0;814.6;12.7;67.6;Gignac
34170;59;740.0;795.6;19.0;45.2;Castelnau-Le-Lez
34200;40;630.0;762.4;16.7;47.5;Sete
34250;21;670.0;721.5;17.8;41.2;Palavas-Les-Flots
34280;25;600.0;627.2;24.1;27.5;La Grande-Motte
34300;58;653.5;705.5;14.6;49.8;Agde
34320;2;600.0;600.0;14.1;42.0;Roujan
34340;1;1076.0;1076.0;11.7;92.0;Marseillan
34400;33;690.0;786.9;14.8;54.7;Lunel
34410;21;816.0;875.7;13.7;65.3;Serignan
34420;1;595.0;595.0;11.2;53.0;
